rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
204,about,r,462995,466.25,0.06,0.00,191855,0.98,53518,53237,52842,76737,44828,75589,76625,29618,430.72,413.93,412.59,608.37,378.86,599.48,629.40,247.25
208,night,n,452094,455.27,0.10,0.05,139694,0.97,36939,39042,102769,65335,106042,44808,48129,9030,297.29,303.56,802.42,517.97,896.21,355.36,395.34,75.38
212,write,v,439865,442.96,0.04,0.00,150771,0.97,76785,77927,32663,51645,37972,56725,51037,55111,617.97,605.90,255.03,409.44,320.92,449.87,419.22,460.06
213,bring,v,439445,442.53,0.05,0.01,184504,0.99,52226,53275,71083,66796,58285,52878,51403,33499,420.32,414.23,555.01,529.56,492.60,419.36,422.23,279.65
215,money,n,437583,440.66,0.04,0.01,130418,0.98,72483,58365,70113,72414,35690,48581,63234,16703,583.35,453.80,547.44,574.10,301.63,385.28,519.41,139.44
224,story,n,432184,435.22,0.06,0.01,143632,0.97,62257,69309,36413,83824,44208,49775,48640,37758,501.05,538.89,284.31,664.55,373.62,394.75,399.53,315.20
225,today,r,431562,434.59,0.21,0.03,165886,0.96,52504,46322,55533,126950,22974,47027,53704,26548,422.55,360.16,433.60,1006.46,194.16,372.96,441.13,221.62
232,begin,v,421878,424.84,0.05,0.03,174867,0.97,36224,48322,18158,58204,72120,69879,65335,53636,291.53,375.72,141.78,461.44,609.52,554.19,536.67,447.75
243,right,n,389906,392.65,0.11,0.01,132702,0.97,59612,63885,42291,69143,23536,37647,41657,52135,479.76,496.72,330.21,548.16,198.91,298.57,342.17,435.22
248,small,j,382563,384.67,0.03,0.00,158927,0.97,47324,47652,17473,28786,66953,73515,49823,50461,380.87,370.51,136.43,228.21,565.85,583.03,409.25,421.24
249,month,n,381833,384.52,0.02,0.01,167134,0.97,48895,48033,32902,55468,34879,59329,77509,24818,393.51,373.47,256.90,439.75,294.78,470.52,636.67,207.18
251,maybe,r,374325,376.96,0.45,0.01,118055,0.97,48716,33168,122573,54263,73569,20337,18271,3428,392.07,257.89,957.04,430.20,621.77,161.29,150.08,28.62
252,right,j,373934,376.56,0.02,0.01,142100,0.98,44414,38574,98425,74244,45213,33124,26921,13018,357.45,299.92,768.50,588.60,382.12,262.70,221.13,108.67
253,under,i,373903,376.53,0.09,0.00,159087,0.98,41197,59679,28613,38188,55033,46155,49942,55096,331.56,464.02,223.41,302.75,465.11,366.04,410.23,459.94
259,study,n,364915,367.48,0.11,0.00,80673,0.87,26250,38802,4369,14636,7303,50083,24241,199231,211.26,301.70,34.11,116.03,61.72,397.20,199.12,1663.16
260,since,c,363805,366.36,0.20,0.00,172632,0.98,61488,58836,33636,32117,42991,47370,45755,41613,494.86,457.46,262.63,254.62,363.34,375.68,375.84,347.38
261,issue,n,362137,364.68,0.02,0.00,128054,0.95,64423,54572,8098,75766,5536,39291,47054,67397,518.48,424.31,63.23,600.67,46.79,311.61,386.51,562.62
270,large,j,353703,356.19,0.03,0.00,147516,0.96,42562,47636,8253,25913,32534,74035,53374,69396,342.54,370.38,64.44,205.44,274.96,587.15,438.42,579.31
274,power,n,351483,353.95,0.09,0.02,113879,0.97,52766,58743,34355,31374,18859,50202,38677,66507,424.66,456.74,268.24,248.73,159.39,398.14,317.70,555.19
287,water,n,342574,344.98,0.07,0.01,93081,0.97,30356,39145,28174,24240,60600,70780,45195,44084,244.31,304.36,219.98,192.17,512.16,561.34,371.24,368.01
288,young,j,341002,343.40,0.05,0.01,132716,0.98,33027,37550,29619,44033,58952,48172,51039,38610,265.80,291.96,231.26,349.09,498.23,382.04,419.24,322.31
293,after,c,334050,336.40,0.40,0.01,167278,0.98,37547,44907,30217,39548,54479,49396,51604,26359,302.18,349.16,235.93,313.54,460.43,391.75,423.88,220.04
300,thank,v,330129,332.45,0.65,0.01,89181,0.93,28764,23146,135797,105338,20370,6187,5946,4581,231.49,179.97,1060.30,835.12,172.16,49.07,48.84,38.24
315,watch,v,318772,321.01,0.10,0.01,127390,0.97,38319,32870,51506,48877,76573,32452,31178,6997,308.39,255.57,402.16,387.50,647.16,257.37,256.10,58.41
316,until,c,318392,320.63,0.06,0.00,144623,0.97,37329,39009,34075,26791,57319,61502,43672,18699,300.43,303.30,266.06,212.40,484.43,487.76,358.73,156.10
322,learn,v,312649,314.85,0.05,0.01,133828,0.97,48042,46203,25920,33050,28390,43799,33066,54179,386.64,359.24,202.38,262.02,239.94,347.36,271.61,452.28
323,least,r,311569,313.76,0.01,0.00,155931,0.98,51035,46138,26962,36497,33789,42576,38574,35998,410.73,358.73,210.52,289.35,285.57,337.66,316.85,300.51
327,party,n,304325,306.46,0.22,0.01,90544,0.97,48499,44801,34231,51977,18158,30963,41557,34139,390.32,348.34,267.27,412.07,153.46,245.56,341.35,284.99
329,stand,v,303462,305.59,0.05,0.01,126265,0.95,28235,31544,35701,33589,100834,32435,26667,14457,227.24,245.26,278.75,266.29,852.20,257.23,219.05,120.69
335,often,r,295709,297.79,0.04,0.00,138420,0.96,40984,44672,6734,19876,21327,57333,39367,65416,329.84,347.34,52.58,157.58,180.25,454.69,323.36,546.09
337,speak,v,295523,297.60,0.05,0.01,125756,0.98,35576,39083,36107,51100,55507,26197,28934,23019,286.32,303.88,281.92,405.12,469.12,207.76,237.67,192.16
340,black,j,293101,295.16,0.25,0.06,90069,0.97,27944,27134,22292,28683,56187,56767,39682,34412,224.89,210.97,174.05,227.40,474.86,450.21,325.95,287.27
346,allow,v,288559,290.59,0.02,0.00,141816,0.97,48095,47645,14603,27501,18568,41973,42777,47397,387.07,370.45,114.02,218.03,156.93,332.88,351.37,395.67
353,spend,v,280371,282.34,0.02,0.00,137565,0.98,44051,38112,25732,38282,28553,42966,45494,17181,354.52,296.33,200.91,303.50,241.32,340.75,373.69,143.43
354,level,n,279770,281.74,0.02,0.00,106185,0.93,39618,41170,8428,20898,8089,35180,26525,99862,318.85,320.11,65.81,165.68,68.36,279.00,217.88,833.64
363,later,r,274178,276.10,0.11,0.01,138240,0.98,24368,30737,29030,34204,44297,45432,42782,23328,196.11,238.99,226.66,271.17,374.38,360.31,351.42,194.74
368,among,i,267798,269.68,0.13,0.00,123983,0.94,23052,33648,4097,19270,17266,43559,47863,79043,185.52,261.62,31.99,152.77,145.92,345.46,393.15,659.84
386,white,j,251664,253.43,0.18,0.06,87559,0.97,27565,23969,18025,20986,54933,42588,31006,32592,221.84,186.36,140.74,166.38,464.27,337.76,254.69,272.08
388,court,n,250891,252.65,0.34,0.00,61922,0.93,22646,34684,12710,48215,8413,21582,52267,50374,182.26,269.68,99.24,382.25,71.10,171.16,429.33,420.52
407,table,n,238887,240.57,0.36,0.15,77338,0.93,13189,19459,12917,12275,54177,32611,15190,79069,106.15,151.30,100.86,97.32,457.88,258.63,124.77,660.06
408,sorry,j,237541,239.21,0.28,0.01,61080,0.91,16238,12330,155466,17263,29115,3553,2990,586,130.68,95.87,1213.87,136.86,246.07,28.18,24.56,4.89
411,human,j,236187,237.85,0.11,0.00,84923,0.96,30788,40675,14632,19261,17927,34223,19460,59221,247.78,316.26,114.25,152.70,151.51,271.41,159.85,494.37
418,offer,v,234189,235.83,0.01,0.00,122150,0.97,32013,31925,11240,15051,19954,44981,41403,37622,257.64,248.22,87.76,119.32,168.64,356.73,340.09,314.07
419,death,n,233153,234.79,0.08,0.01,88712,0.99,24470,34866,28533,30565,29465,28192,32090,24972,196.94,271.09,222.78,242.32,249.02,223.58,263.59,208.46
420,whole,j,233110,234.75,0.03,0.01,114247,0.98,32007,29347,47210,41152,30084,24316,17683,11311,257.59,228.18,368.61,326.25,254.26,192.84,145.25,94.42
425,build,v,230071,231.69,0.04,0.00,111042,0.97,34781,31880,15464,22643,17180,43823,39582,24718,279.92,247.87,120.74,179.51,145.20,347.55,325.13,206.34
431,sense,n,226539,228.13,0.02,0.00,109491,0.98,34045,34144,17843,33544,23000,27977,19749,36237,274.00,265.48,139.32,265.94,194.38,221.88,162.22,302.50
434,early,j,224665,226.24,0.06,0.01,114261,0.96,24329,29596,8546,19949,15942,40343,32359,53601,195.80,230.12,66.73,158.16,134.73,319.95,265.80,447.46
436,music,n,222767,224.33,0.15,0.02,56504,0.95,22506,26700,18010,24596,18795,24457,32923,54780,181.13,207.60,140.62,195.00,158.85,193.96,270.43,457.30
439,class,n,219160,220.70,0.09,0.01,77006,0.96,32508,31128,16708,15123,16774,21393,31712,53814,261.63,242.03,130.46,119.89,141.77,169.66,260.49,449.23
445,heart,n,216345,217.87,0.08,0.01,95536,0.98,24164,31581,34641,22528,36817,32608,20374,13632,194.47,245.55,270.48,178.60,311.16,258.61,167.35,113.80
449,serve,v,213511,215.01,0.08,0.02,101964,0.96,24175,28471,9810,16840,11831,43486,43565,35333,194.56,221.37,76.60,133.51,99.99,344.88,357.85,294.96
450,break,v,213364,214.86,0.05,0.01,112062,0.99,24160,25913,41113,26774,33869,26322,24908,10305,194.44,201.48,321.01,212.26,286.24,208.75,204.60,86.03
456,force,n,210010,211.49,0.17,0.00,78196,0.96,19694,29020,11076,35116,10843,29092,34537,40632,158.50,225.64,86.48,278.40,91.64,230.72,283.69,339.19
461,agree,v,208506,209.97,0.03,0.00,99513,0.96,44775,34294,15001,38207,15528,17952,24599,18150,360.35,266.64,117.13,302.90,131.24,142.37,202.06,151.51
465,wrong,j,206856,208.31,0.04,0.01,91741,0.98,34359,27722,57722,29731,24021,14072,12996,6233,276.52,215.55,450.69,235.71,203.01,111.60,106.75,52.03
480,local,j,200668,202.08,0.03,0.00,92046,0.96,26538,26832,5771,17783,9478,31696,39273,43297,213.58,208.63,45.06,140.98,80.10,251.37,322.59,361.44
490,value,n,195639,197.01,0.04,0.00,70986,0.93,30048,37008,3650,11718,3858,25115,20213,64029,241.83,287.75,28.50,92.90,32.61,199.18,166.03,534.51
493,phone,n,194941,196.31,0.05,0.01,70758,0.98,24265,22589,35587,27692,36622,22764,20247,5175,195.29,175.64,277.86,219.54,309.51,180.54,166.31,43.20
495,event,n,194748,196.12,0.04,0.01,88946,0.96,31874,35306,6839,17866,9293,25510,32496,35564,256.52,274.51,53.40,141.64,78.54,202.31,266.93,296.89
496,drive,v,194360,195.73,0.05,0.01,95630,0.98,22778,21659,28727,19614,36991,26214,27372,11005,183.32,168.40,224.30,155.50,312.63,207.90,224.84,91.87
498,reach,v,193684,195.04,0.02,0.00,106103,0.96,19643,22808,11656,16472,47807,28807,26044,20447,158.09,177.34,91.01,130.59,404.04,228.46,213.93,170.69
505,model,n,191448,192.79,0.08,0.01,59228,0.91,22594,23705,5261,7797,4854,31040,14788,81409,181.84,184.31,41.08,61.81,41.02,246.17,121.47,679.60
510,movie,n,190773,192.11,0.05,0.01,57204,0.97,31147,30736,23475,32887,13260,25733,29149,4386,250.67,238.98,183.29,260.73,112.07,204.08,239.43,36.61
